#,Nombre,Posición,Altura,Año de nacimiento,Alcance en ataque,Alcance en bloqueo,id_jugador
2,Paradela Cortón Miguel,Líbero,-,2004,-,-,1
3,Bouza Ferreiro Víctor,Receptor,-,1990,-,-,2
4,Linares José Luis,Opuesto,-,1998,-,-,3
5,Barrasa Portomeñe Samuel,Líbero,-,2007,-,-,4
6,Edward Batalla Dexter,Colocador/a,-,2000,-,-,5
9,Schulz Max,Receptor,-,2002,-,-,6
10,Biliato Luca,Opuesto,-,1993,-,-,7
11,Villar Álvarez Pablo,Colocador/a,-,2002,-,-,8
12,Rodríguez Rubio Aurelio,Middle-blocker,-,2000,-,-,9
13,Frías Collado Juan Francisco,Middle-blocker,-,2000,-,-,10
14,Augustinho De Lara Sopschuk Luis Henrique,Middle-blocker,-,2002,-,-,11
17,Ossola Gude Nahuel,Receptor,-,2002,-,-,12
1,Rodríguez Herrera Francisco J.,Receptor,188,1980,-,-,13
2,Conde Barrios Lucas,Receptor,196,2004,-,-,14
3,Oliva Alonso Adrián,Middle-blocker,204,1998,-,-,15
7,Dovale Fidalgo Mario,Líbero,188,-,-,-,16
8,Rodríguez Álvarez Óscar,Receptor,188,2002,-,-,17
9,Duque Grijalvo Francisco,Middle-blocker,200,1999,-,-,18
10,Álvarez Escudero Eduardo,Opuesto,200,1998,-,-,19
11,Cabello Diedhou Ahmed,Middle-blocker,197,2000,-,-,20
13,Macarro Tortajada Daniel,Middle-blocker,200,1993,-,-,21
14,Machuca Wehbe BRuno,Colocador/a,180,2006,-,-,22
15,Roberts Ignacio,Colocador/a,182,1997,-,-,23
18,Fernández Coviello Adrián,-,194,1989,-,-,24
19,Nogueira Amorim Víctor Lucas,Opuesto,201,1997,-,-,25
22,Del Carmen Barbara Gabriel,Receptor,188,1994,-,-,26
99,Costa Erick G.,Receptor,206,1997,-,-,27
1,Seybering David,Middle-blocker,204,1995,-,-,28
2,Garcías Millas Joan Miquel,Líbero,180,2002,-,-,29
4,Sánchez Coll Javier,Colocador/a,190,2001,-,-,30
5,Riera Granada Adrián,Receptor,180,2002,-,-,31
6,Bernal Bravo Abel,Middle-blocker,198,1981,-,-,32
7,De la Rosa Cañellas Antonio,Opuesto,196,2002,-,-,33
8,Osado Carrasco José,Líbero,175,1997,-,-,34
9,Rodríguez Dosal Ángel,Opuesto,198,1995,-,-,35
10,Giménez Hernández José María,Receptor,185,1995,-,-,36
11,Cairus Renzo,Receptor,190,1990,-,-,37
13,Moreno Mañas Antonio,Receptor,198,1987,-,-,38
15,Arjones Ferreiros Jaime,Colocador/a,184,2003,-,-,39
18,Scarpin Maximiliano,Middle-blocker,197,1990,-,-,40
-,Llopart Alejandro,-,-,1998,-,-,41
1,Alves Ramos Vitor,Receptor,-,2002,-,-,42
2,Chourio González Anderson José,Opuesto,-,1986,-,-,43
4,Liu Coltyn Go Yuen,Receptor,-,1999,-,-,44
6,Piris Guiscafré Antoni,Líbero,-,2001,-,-,45
7,Miranda de Alcantara Víctor Hugo,Opuesto,-,1998,-,-,46
8,Calvo Leandro Omar,Receptor,-,2000,-,-,47
9,Romaní Leandro Gustavo,Middle-blocker,-,1999,-,-,48
10,Ribas Brockert Alejandro,Middle-blocker,-,2004,-,-,49
15,Mesquida Pomar Francesc,Receptor,-,1994,-,-,50
21,Martín Pérez César,Colocador/a,-,1995,-,-,51
77,Gibanel Galmés Sebastiá,Líbero,-,2000,-,-,52
99,Kobzev Vitali,Middle-blocker,-,1994,-,-,53
1,Bruno López Nicolás,Receptor,-,1989,-,-,54
2,Pérez Figueroa Ezequiel,Líbero,-,2006,-,-,55
3,Saxton Vigrass Graham,Middle-blocker,-,1989,-,-,56
5,De Carvalho Furtado Carlos Manuel,Middle-blocker,-,1995,-,-,57
6,Bezerra Souza Francisco Wallyson,Opuesto,-,1990,-,-,58
7,de Amo Miguel Ángel,Colocador/a,-,1985,-,-,59
8,Larrañaga Ledo Unai,Líbero,-,2000,-,-,60
10,Almansa Jorge,Receptor,-,1991,-,-,61
11,Moreno Mosquera Juan Pablo,Opuesto,-,1997,-,-,62
12,Diedhiou Pascal Jean,Middle-blocker,-,1993,-,-,63
13,Zonca Paolo,Receptor,-,1997,-,-,64
14,Cavanna Maximiliano,Colocador/a,-,1988,-,-,65
18,Ramos Martín Emiliano,Middle-blocker,-,1991,-,-,66
22,López Carretero Hugo,Receptor,-,2004,-,-,67
1,Vanole Nogueira Silva Thiago,Receptor,189,1994,346,330,68
2,Melgarejo Brian Efren,Receptor,191,1995,346,330,69
3,Ruda Martínez Florentino,Receptor,195,2003,334,340,80
5,Masia Porres Arnau,Líbero,182,2002,-,-,71
6,El Mesaoudi Sufian,Receptor,185,2003,331,320,72
7,Portero Losilla Andrés Francisco,Colocador/a,184,1991,310,310,73
9,López Alacio David,Middle-blocker,198,2000,343,345,74
10,Hamed Benali Samir,Líbero,168,2000,-,-,75
11,Mimoun Chakrani Azddin,Middle-blocker,195,2004,380,360,76
16,Monteagudo del Pueblo Joaquín,Middle-blocker,197,1996,345,335,77
